"filename", "language", "PHP", "CSV", "HTML", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\svguser\page_img_list.php", "PHP", 72, 0, 0, 0, 0, 0, 1, 3, 76
"c:\xampp\htdocs\svguser\page_initialize.php", "PHP", 30, 0, 0, 0, 0, 0, 92, 0, 122
"c:\xampp\htdocs\svguser\page_replace_file.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\xampp\htdocs\svguser\page_replace_result.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 5, 43
"c:\xampp\htdocs\svguser\page_svg_editor.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 3, 133
"c:\xampp\htdocs\svguser\script_svg_initialize.php", "PHP", 128, 0, 0, 0, 0, 0, 41, 14, 183
"c:\xampp\htdocs\svguser\testHTML\index.html", "HTML", 0, 0, 67, 0, 0, 0, 0, 7, 74
"c:\xampp\htdocs\svguser\testHTML\information.html", "HTML", 0, 0, 70, 0, 0, 0, 0, 8, 78
"c:\xampp\htdocs\svguser\testHTML\last.html", "HTML", 0, 0, 241, 0, 0, 0, 0, 32, 273
"c:\xampp\htdocs\svguser\testHTML\menu.html", "HTML", 0, 0, 46, 0, 0, 0, 3, 6, 55
"c:\xampp\htdocs\svguser\testHTML\mountainguide.html", "HTML", 0, 0, 105, 0, 0, 0, 0, 11, 116
"c:\xampp\htdocs\svguser\testHTML\rgb_converter.html", "HTML", 0, 0, 257, 0, 0, 0, 1, 24, 282
"c:\xampp\htdocs\svguser\testHTML\sample.html", "HTML", 0, 0, 45, 0, 0, 0, 1, 5, 51
"c:\xampp\htdocs\svguser\testHTML\sample2.html", "HTML", 0, 0, 45, 0, 0, 0, 1, 2, 48
"c:\xampp\htdocs\svguser\testHTML\style.css", "CSS", 0, 0, 0, 74, 0, 0, 16, 11, 101
"c:\xampp\htdocs\svguser\testHTML\table.html", "HTML", 0, 0, 90, 0, 0, 0, 0, 7, 97
"c:\xampp\htdocs\svguser\testHTML\test-index.html", "HTML", 0, 0, 68, 0, 0, 0, 0, 8, 76
"c:\xampp\htdocs\svguser\testHTML\test-test-index.html", "HTML", 0, 0, 68, 0, 0, 0, 0, 9, 77
"c:\xampp\htdocs\svguser\testSVG\Ghostscript_Tiger.svg", "XML", 0, 0, 0, 0, 724, 0, 0, 1, 725
"c:\xampp\htdocs\svguser\testSVG\vector-world-map-v2-1.svg", "XML", 0, 0, 0, 0, 413, 0, 0, 1, 414
"c:\xampp\htdocs\svguser\testSVG\vector-world-map-v2.svg", "XML", 0, 0, 0, 0, 413, 0, 0, 1, 414
"c:\xampp\htdocs\svguser\testSVG\名称未設定-1.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\xampp\htdocs\svguser\testSVG\名称未設定-12.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\xampp\htdocs\svguser\testSVG\名称未設定-121.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\xampp\htdocs\svguser\testSVG\名称未設定-14.svg", "XML", 0, 0, 0, 0, 31, 0, 1, 1, 33
"c:\xampp\htdocs\svguser\testSVG\名称未設定-151.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\svguser\testSVG\名称未設定-154.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\svguser\testSVG\名称未設定-2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\svguser\testSVG\名称未設定-22.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\svguser\testSVG\名称未設定-31.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\xampp\htdocs\svguser\testSVG\名称未設定-51.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\xampp\htdocs\svguser\testSVG\名称未設定-551.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\xampp\htdocs\svguser\trashed_code\class_db_io.php", "PHP", 39, 0, 0, 0, 0, 0, 18, 1, 58
"c:\xampp\htdocs\svguser\trashed_code\csv\data.csv", "CSV", 0, 10, 0, 0, 0, 0, 0, 187, 197
"c:\xampp\htdocs\svguser\trashed_code\upload.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\svguser\trashed_code\upload_svg.php", "PHP", 47, 0, 0, 0, 0, 0, 1, 11, 59
"c:\xampp\htdocs\svguser\unused_code\class_css_edit.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\svguser\unused_code\class_csv_io.php", "PHP", 66, 0, 0, 0, 0, 0, 6, 4, 76
"Total", "-", 1249, 13, 1102, 730, 3403, 782, 275, 592, 8146
